1 99 1 0 0
2 96 1 1 2
3 95 1 2 2
4 93 3 2 2
5 89 4 1 6
6 85 6 2 7
7 82 12 0 6
8 76 15 0 9
9 69 18 3 10
10 61 26 3 10
11 49 31 5 15
12 42 37 5 16
13 33 48 5 14
14 13 56 5 26
15 6 66 2 26
16 5 86 1 8
17 1 93 2 4
18 0 94 2 4
19 0 97 2 1
20 0 98 2 0
