S S S S S S S S S S 
S S S S S S S S S S 
S I I I I S S S S S 
I Z Z Z S I S S S I 
Z Z Z Z Z I S S S I 
I Z Z Z Z I S S S I 
Z Z Z Z Z I S S S I 
Z Z Z Z Z S S S S I 
I I I I S S S S S S 
S S S S S S S S S S 
