1 18446744073709551611 1 0 0
2 18446744073709551614 1 0 0
3 18446744073709551611 6 0 0
4 18446744073709551609 8 0 0
5 18446744073709551610 8 0 0
6 18446744073709551607 13 0 0
7 18446744073709551604 19 0 0
8 18446744073709551605 23 0 0
9 18446744073709551605 29 0 0
10 18446744073709551599 36 0 0
11 18446744073709551602 41 0 0
12 18446744073709551595 51 0 0
13 18446744073709551598 60 0 0
14 18446744073709551598 71 0 0
15 18446744073709551599 80 0 0
16 18446744073709551606 87 0 0
17 18446744073709551606 95 0 0
18 18446744073709551613 98 0 0
19 18446744073709551614 100 0 0
20 0 100 0 0
